"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"neur2a",433,1416,0.028954802259887,0.167738761020384,0,0,0,0,1,1,5.61244802142016,29.5204220446896,0.00445760728144626
"neur3a",434,1395,9.76989247311828,4.08123531491958,10,9.64816472694718,4.4478,0,24,24,0.332030437126061,-0.0239515615413732,0.109270903024763
"neur3b",435,1394,7.87159253945481,3.66665726446033,8,7.72132616487455,4.4478,0,21,21,0.395183228434131,-0.09012074408535,0.0982062052429515
"neur3c",436,1394,9.97130559540889,4.28346394098049,10,9.79121863799283,4.4478,0,25,25,0.409151369394366,0.138852771556033,0.11472649571479
"neur4a",437,1396,13.8273638968481,4.88295952175933,14,13.6932021466905,4.4478,0,31,31,0.309656000751478,0.158193364145771,0.130689415311477
"neur4b",438,1395,10.1161290322581,3.37230545996845,10,10.0071620411817,2.9652,2,21,19,0.328948096183999,-0.0578120867254484,0.0902900309470029
"neur4c",439,1396,8.57521489971347,3.44762163467279,8,8.43738819320215,2.9652,0,25,25,0.417405055274651,0.21980324836204,0.0922734775176356
"neur5",440,1372,17.5320699708455,6.07859950431276,18,17.7258652094718,7.413,0,28,28,-0.310025152854002,-0.497237799870009,0.164106761305837
"neur7a",441,1393,4.72361809045226,1.74704038831623,5,4.69686098654708,1.4826,0,11,11,0.232520084191393,0.293067848128448,0.0468087869970485
"neur7b",442,1392,6.45330459770115,2.14582750940243,6,6.44075403949731,2.9652,0,12,12,0.0248031964033902,-0.357096902863414,0.0575142142607529
"neur7c",443,1393,7.46805455850682,2.46131395789324,8,7.53363228699552,2.9652,0,12,12,-0.263924438872103,-0.389099535794669,0.065946455249913
"neur8",444,1388,24.5446685878963,3.44764431112011,25,24.9559352517986,2.9652,1,30,29,-1.77966801910315,5.73193455895845,0.0925396219214203
"neur9",445,1382,37.1432706222865,13.5104656088525,36,36.871609403255,13.3434,0,90,90,0.229240923712915,-0.0922585409961689,0.363426251601478
"neur6",446,1376,10.172238372093,4.47442668797317,10,10.2114337568058,4.4478,0,23,23,-0.0809675718278296,-0.623035579043601,0.120622459564906
"neur10a",447,1374,11.6950509461426,3.92975708969413,12,11.8009090909091,4.4478,0,22,22,-0.248995853613872,-0.0410780969818338,0.106016225942205
"neur10b",448,1374,13.2292576419214,4.0328931457607,13,13.37,4.4478,0,25,25,-0.338403933268222,0.286284819469327,0.108798610495035
"neur13a",449,1264,13.6606012658228,10.1567055783407,10,11.8369565217391,7.413,0,62,62,1.68558292162913,2.71858583761697,0.285679663986475
"neur13b",450,1261,2.13084853291039,1.59498469716244,2,2.06442021803766,1.4826,0,6,6,0.193858837339439,-1.12936342732386,0.0449157832459972
